Category: All categories

Week,food near me: (Worldwide)
2017-12-03,32
2017-12-10,34
2017-12-17,34
2017-12-24,45
2017-12-31,41
2018-01-07,35
2018-01-14,34
2018-01-21,33
2018-01-28,35
2018-02-04,32
2018-02-11,37
2018-02-18,38
2018-02-25,39
2018-03-04,40
2018-03-11,42
2018-03-18,41
2018-03-25,45
2018-04-01,43
2018-04-08,40
2018-04-15,40
2018-04-22,39
2018-04-29,41
2018-05-06,40
2018-05-13,41
2018-05-20,42
2018-05-27,45
2018-06-03,46
2018-06-10,49
2018-06-17,47
2018-06-24,52
2018-07-01,54
2018-07-08,50
2018-07-15,52
2018-07-22,53
2018-07-29,53
2018-08-05,52
2018-08-12,50
2018-08-19,50
2018-08-26,50
2018-09-02,51
2018-09-09,47
2018-09-16,46
2018-09-23,49
2018-09-30,47
2018-10-07,49
2018-10-14,47
2018-10-21,48
2018-10-28,47
2018-11-04,51
2018-11-11,48
2018-11-18,48
2018-11-25,44
2018-12-02,45
2018-12-09,47
2018-12-16,47
2018-12-23,65
2018-12-30,59
2019-01-06,45
2019-01-13,45
2019-01-20,46
2019-01-27,47
2019-02-03,48
2019-02-10,51
2019-02-17,54
2019-02-24,53
2019-03-03,54
2019-03-10,60
2019-03-17,56
2019-03-24,60
2019-03-31,55
2019-04-07,56
2019-04-14,59
2019-04-21,58
2019-04-28,61
2019-05-05,59
2019-05-12,59
2019-05-19,60
2019-05-26,68
2019-06-02,67
2019-06-09,66
2019-06-16,67
2019-06-23,70
2019-06-30,73
2019-07-07,71
2019-07-14,73
2019-07-21,73
2019-07-28,75
2019-08-04,74
2019-08-11,69
2019-08-18,72
2019-08-25,65
2019-09-01,67
2019-09-08,63
2019-09-15,64
2019-09-22,63
2019-09-29,64
2019-10-06,64
2019-10-13,66
2019-10-20,63
2019-10-27,63
2019-11-03,63
2019-11-10,64
2019-11-17,63
2019-11-24,61
2019-12-01,58
2019-12-08,60
2019-12-15,62
2019-12-22,82
2019-12-29,80
2020-01-05,61
2020-01-12,59
2020-01-19,59
2020-01-26,58
2020-02-02,54
2020-02-09,62
2020-02-16,65
2020-02-23,65
2020-03-01,62
2020-03-08,59
2020-03-15,47
2020-03-22,43
2020-03-29,44
2020-04-05,43
2020-04-12,50
2020-04-19,52
2020-04-26,51
2020-05-03,54
2020-05-10,54
2020-05-17,54
2020-05-24,59
2020-05-31,60
2020-06-07,62
2020-06-14,64
2020-06-21,68
2020-06-28,74
2020-07-05,70
2020-07-12,69
2020-07-19,72
2020-07-26,75
2020-08-02,73
2020-08-09,73
2020-08-16,70
2020-08-23,70
2020-08-30,71
2020-09-06,68
2020-09-13,68
2020-09-20,66
2020-09-27,67
2020-10-04,66
2020-10-11,66
2020-10-18,67
2020-10-25,64
2020-11-01,58
2020-11-08,63
2020-11-15,63
2020-11-22,61
2020-11-29,60
2020-12-06,60
2020-12-13,62
2020-12-20,79
2020-12-27,80
2021-01-03,65
2021-01-10,65
2021-01-17,65
2021-01-24,63
2021-01-31,60
2021-02-07,58
2021-02-14,70
2021-02-21,65
2021-02-28,66
2021-03-07,70
2021-03-14,77
2021-03-21,78
2021-03-28,87
2021-04-04,80
2021-04-11,78
2021-04-18,76
2021-04-25,73
2021-05-02,77
2021-05-09,77
2021-05-16,78
2021-05-23,79
2021-05-30,86
2021-06-06,84
2021-06-13,83
2021-06-20,88
2021-06-27,89
2021-07-04,93
2021-07-11,94
2021-07-18,92
2021-07-25,90
2021-08-01,92
2021-08-08,90
2021-08-15,90
2021-08-22,87
2021-08-29,89
2021-09-05,91
2021-09-12,88
2021-09-19,86
2021-09-26,78
2021-10-03,83
2021-10-10,83
2021-10-17,82
2021-10-24,78
2021-10-31,77
2021-11-07,75
2021-11-14,79
2021-11-21,80
2021-11-28,73
2021-12-05,74
2021-12-12,79
2021-12-19,93
2021-12-26,100
2022-01-02,62
2022-01-09,57
2022-01-16,55
2022-01-23,54
2022-01-30,58
2022-02-06,60
2022-02-13,65
2022-02-20,66
2022-02-27,65
2022-03-06,66
2022-03-13,67
2022-03-20,70
2022-03-27,65
2022-04-03,65
2022-04-10,68
2022-04-17,70
2022-04-24,67
2022-05-01,69
2022-05-08,69
2022-05-15,64
2022-05-22,66
2022-05-29,73
2022-06-05,69
2022-06-12,72
2022-06-19,71
2022-06-26,74
2022-07-03,82
2022-07-10,72
2022-07-17,75
2022-07-24,75
2022-07-31,74
2022-08-07,73
2022-08-14,74
2022-08-21,67
2022-08-28,69
2022-09-04,72
2022-09-11,63
2022-09-18,69
2022-09-25,66
2022-10-02,64
2022-10-09,63
2022-10-16,61
2022-10-23,59
2022-10-30,66
2022-11-06,60
2022-11-13,62
2022-11-20,57
