Category: All categories

Week,yahoo: (Worldwide)
2017-12-03,98
2017-12-10,98
2017-12-17,100
2017-12-24,84
2017-12-31,86
2018-01-07,96
2018-01-14,97
2018-01-21,99
2018-01-28,93
2018-02-04,97
2018-02-11,93
2018-02-18,93
2018-02-25,91
2018-03-04,92
2018-03-11,96
2018-03-18,90
2018-03-25,89
2018-04-01,88
2018-04-08,91
2018-04-15,91
2018-04-22,90
2018-04-29,85
2018-05-06,84
2018-05-13,84
2018-05-20,82
2018-05-27,81
2018-06-03,81
2018-06-10,79
2018-06-17,81
2018-06-24,77
2018-07-01,75
2018-07-08,81
2018-07-15,77
2018-07-22,77
2018-07-29,77
2018-08-05,74
2018-08-12,72
2018-08-19,75
2018-08-26,75
2018-09-02,79
2018-09-09,81
2018-09-16,80
2018-09-23,72
2018-09-30,75
2018-10-07,72
2018-10-14,75
2018-10-21,76
2018-10-28,71
2018-11-04,68
2018-11-11,74
2018-11-18,71
2018-11-25,67
2018-12-02,74
2018-12-09,69
2018-12-16,69
2018-12-23,61
2018-12-30,62
2019-01-06,68
2019-01-13,68
2019-01-20,65
2019-01-27,68
2019-02-03,66
2019-02-10,66
2019-02-17,68
2019-02-24,66
2019-03-03,64
2019-03-10,68
2019-03-17,66
2019-03-24,67
2019-03-31,65
2019-04-07,66
2019-04-14,63
2019-04-21,64
2019-04-28,65
2019-05-05,65
2019-05-12,70
2019-05-19,68
2019-05-26,65
2019-06-02,64
2019-06-09,68
2019-06-16,69
2019-06-23,69
2019-06-30,70
2019-07-07,68
2019-07-14,64
2019-07-21,64
2019-07-28,66
2019-08-04,68
2019-08-11,63
2019-08-18,72
2019-08-25,70
2019-09-01,76
2019-09-08,70
2019-09-15,69
2019-09-22,69
2019-09-29,71
2019-10-06,70
2019-10-13,67
2019-10-20,70
2019-10-27,66
2019-11-03,67
2019-11-10,67
2019-11-17,71
2019-11-24,67
2019-12-01,70
2019-12-08,72
2019-12-15,69
2019-12-22,58
2019-12-29,60
2020-01-05,67
2020-01-12,66
2020-01-19,63
2020-01-26,69
2020-02-02,67
2020-02-09,69
2020-02-16,70
2020-02-23,74
2020-03-01,71
2020-03-08,74
2020-03-15,78
2020-03-22,78
2020-03-29,76
2020-04-05,73
2020-04-12,74
2020-04-19,76
2020-04-26,75
2020-05-03,74
2020-05-10,74
2020-05-17,73
2020-05-24,71
2020-05-31,71
2020-06-07,72
2020-06-14,73
2020-06-21,72
2020-06-28,73
2020-07-05,74
2020-07-12,76
2020-07-19,74
2020-07-26,70
2020-08-02,70
2020-08-09,67
2020-08-16,71
2020-08-23,67
2020-08-30,72
2020-09-06,74
2020-09-13,69
2020-09-20,67
2020-09-27,69
2020-10-04,72
2020-10-11,66
2020-10-18,68
2020-10-25,67
2020-11-01,66
2020-11-08,68
2020-11-15,69
2020-11-22,66
2020-11-29,67
2020-12-06,68
2020-12-13,71
2020-12-20,61
2020-12-27,63
2021-01-03,68
2021-01-10,70
2021-01-17,69
2021-01-24,70
2021-01-31,68
2021-02-07,70
2021-02-14,71
2021-02-21,69
2021-02-28,69
2021-03-07,68
2021-03-14,67
2021-03-21,71
2021-03-28,64
2021-04-04,67
2021-04-11,67
2021-04-18,69
2021-04-25,64
2021-05-02,66
2021-05-09,65
2021-05-16,69
2021-05-23,64
2021-05-30,66
2021-06-06,66
2021-06-13,68
2021-06-20,67
2021-06-27,66
2021-07-04,64
2021-07-11,66
2021-07-18,67
2021-07-25,68
2021-08-01,65
2021-08-08,63
2021-08-15,64
2021-08-22,65
2021-08-29,68
2021-09-05,67
2021-09-12,70
2021-09-19,66
2021-09-26,64
2021-10-03,68
2021-10-10,65
2021-10-17,64
2021-10-24,63
2021-10-31,62
2021-11-07,65
2021-11-14,64
2021-11-21,60
2021-11-28,65
2021-12-05,64
2021-12-12,67
2021-12-19,61
2021-12-26,60
2022-01-02,58
2022-01-09,59
2022-01-16,57
2022-01-23,60
2022-01-30,61
2022-02-06,57
2022-02-13,55
2022-02-20,53
2022-02-27,55
2022-03-06,55
2022-03-13,55
2022-03-20,54
2022-03-27,53
2022-04-03,53
2022-04-10,53
2022-04-17,52
2022-04-24,54
2022-05-01,53
2022-05-08,55
2022-05-15,57
2022-05-22,55
2022-05-29,56
2022-06-05,54
2022-06-12,58
2022-06-19,55
2022-06-26,57
2022-07-03,57
2022-07-10,55
2022-07-17,55
2022-07-24,53
2022-07-31,56
2022-08-07,56
2022-08-14,54
2022-08-21,52
2022-08-28,53
2022-09-04,55
2022-09-11,56
2022-09-18,54
2022-09-25,55
2022-10-02,55
2022-10-09,55
2022-10-16,54
2022-10-23,54
2022-10-30,56
2022-11-06,54
2022-11-13,55
2022-11-20,50
