Category: All categories

Week,target: (Worldwide)
2017-12-03,68
2017-12-10,69
2017-12-17,83
2017-12-24,77
2017-12-31,56
2018-01-07,44
2018-01-14,44
2018-01-21,42
2018-01-28,43
2018-02-04,41
2018-02-11,43
2018-02-18,42
2018-02-25,45
2018-03-04,45
2018-03-11,44
2018-03-18,43
2018-03-25,46
2018-04-01,48
2018-04-08,44
2018-04-15,45
2018-04-22,44
2018-04-29,45
2018-05-06,47
2018-05-13,44
2018-05-20,44
2018-05-27,47
2018-06-03,45
2018-06-10,45
2018-06-17,45
2018-06-24,45
2018-07-01,49
2018-07-08,50
2018-07-15,52
2018-07-22,51
2018-07-29,50
2018-08-05,50
2018-08-12,48
2018-08-19,48
2018-08-26,44
2018-09-02,46
2018-09-09,43
2018-09-16,43
2018-09-23,44
2018-09-30,48
2018-10-07,46
2018-10-14,49
2018-10-21,47
2018-10-28,51
2018-11-04,52
2018-11-11,58
2018-11-18,100
2018-11-25,73
2018-12-02,66
2018-12-09,68
2018-12-16,77
2018-12-23,81
2018-12-30,57
2019-01-06,44
2019-01-13,42
2019-01-20,43
2019-01-27,42
2019-02-03,43
2019-02-10,43
2019-02-17,45
2019-02-24,48
2019-03-03,43
2019-03-10,43
2019-03-17,44
2019-03-24,42
2019-03-31,43
2019-04-07,44
2019-04-14,44
2019-04-21,48
2019-04-28,43
2019-05-05,45
2019-05-12,44
2019-05-19,45
2019-05-26,45
2019-06-02,44
2019-06-09,48
2019-06-16,47
2019-06-23,46
2019-06-30,50
2019-07-07,47
2019-07-14,50
2019-07-21,49
2019-07-28,48
2019-08-04,47
2019-08-11,48
2019-08-18,50
2019-08-25,44
2019-09-01,48
2019-09-08,45
2019-09-15,45
2019-09-22,43
2019-09-29,46
2019-10-06,45
2019-10-13,46
2019-10-20,46
2019-10-27,48
2019-11-03,53
2019-11-10,55
2019-11-17,57
2019-11-24,90
2019-12-01,71
2019-12-08,65
2019-12-15,70
2019-12-22,82
2019-12-29,54
2020-01-05,41
2020-01-12,41
2020-01-19,39
2020-01-26,39
2020-02-02,41
2020-02-09,42
2020-02-16,42
2020-02-23,42
2020-03-01,46
2020-03-08,47
2020-03-15,57
2020-03-22,58
2020-03-29,62
2020-04-05,65
2020-04-12,64
2020-04-19,62
2020-04-26,69
2020-05-03,65
2020-05-10,61
2020-05-17,62
2020-05-24,74
2020-05-31,66
2020-06-07,60
2020-06-14,59
2020-06-21,52
2020-06-28,58
2020-07-05,53
2020-07-12,56
2020-07-19,56
2020-07-26,54
2020-08-02,55
2020-08-09,53
2020-08-16,55
2020-08-23,51
2020-08-30,50
2020-09-06,49
2020-09-13,53
2020-09-20,47
2020-09-27,45
2020-10-04,45
2020-10-11,48
2020-10-18,46
2020-10-25,48
2020-11-01,47
2020-11-08,65
2020-11-15,64
2020-11-22,84
2020-11-29,74
2020-12-06,68
2020-12-13,71
2020-12-20,84
2020-12-27,63
2021-01-03,49
2021-01-10,46
2021-01-17,46
2021-01-24,45
2021-01-31,43
2021-02-07,44
2021-02-14,43
2021-02-21,43
2021-02-28,44
2021-03-07,46
2021-03-14,44
2021-03-21,46
2021-03-28,48
2021-04-04,47
2021-04-11,43
2021-04-18,43
2021-04-25,41
2021-05-02,43
2021-05-09,42
2021-05-16,42
2021-05-23,44
2021-05-30,45
2021-06-06,44
2021-06-13,46
2021-06-20,45
2021-06-27,45
2021-07-04,46
2021-07-11,47
2021-07-18,47
2021-07-25,46
2021-08-01,46
2021-08-08,46
2021-08-15,47
2021-08-22,46
2021-08-29,45
2021-09-05,43
2021-09-12,46
2021-09-19,45
2021-09-26,43
2021-10-03,45
2021-10-10,45
2021-10-17,48
2021-10-24,52
2021-10-31,47
2021-11-07,50
2021-11-14,56
2021-11-21,76
2021-11-28,62
2021-12-05,58
2021-12-12,66
2021-12-19,81
2021-12-26,60
2022-01-02,47
2022-01-09,43
2022-01-16,40
2022-01-23,40
2022-01-30,43
2022-02-06,42
2022-02-13,41
2022-02-20,39
2022-02-27,44
2022-03-06,40
2022-03-13,41
2022-03-20,42
2022-03-27,43
2022-04-03,44
2022-04-10,41
2022-04-17,45
2022-04-24,43
2022-05-01,43
2022-05-08,42
2022-05-15,44
2022-05-22,41
2022-05-29,44
2022-06-05,45
2022-06-12,43
2022-06-19,42
2022-06-26,42
2022-07-03,44
2022-07-10,47
2022-07-17,43
2022-07-24,43
2022-07-31,46
2022-08-07,45
2022-08-14,45
2022-08-21,44
2022-08-28,42
2022-09-04,40
2022-09-11,40
2022-09-18,39
2022-09-25,41
2022-10-02,43
2022-10-09,41
2022-10-16,40
2022-10-23,40
2022-10-30,44
2022-11-06,46
2022-11-13,49
2022-11-20,62
