Category: All categories

Week,dua lipa: (Worldwide)
2017-12-03,32
2017-12-10,28
2017-12-17,28
2017-12-24,31
2017-12-31,32
2018-01-07,34
2018-01-14,41
2018-01-21,39
2018-01-28,34
2018-02-04,37
2018-02-11,36
2018-02-18,65
2018-02-25,41
2018-03-04,36
2018-03-11,32
2018-03-18,34
2018-03-25,35
2018-04-01,38
2018-04-08,38
2018-04-15,40
2018-04-22,35
2018-04-29,35
2018-05-06,41
2018-05-13,34
2018-05-20,65
2018-05-27,100
2018-06-03,46
2018-06-10,43
2018-06-17,39
2018-06-24,39
2018-07-01,37
2018-07-08,36
2018-07-15,35
2018-07-22,39
2018-07-29,35
2018-08-05,41
2018-08-12,34
2018-08-19,33
2018-08-26,27
2018-09-02,36
2018-09-09,35
2018-09-16,27
2018-09-23,25
2018-09-30,23
2018-10-07,33
2018-10-14,35
2018-10-21,32
2018-10-28,29
2018-11-04,30
2018-11-11,24
2018-11-18,20
2018-11-25,17
2018-12-02,22
2018-12-09,18
2018-12-16,18
2018-12-23,20
2018-12-30,31
2019-01-06,18
2019-01-13,20
2019-01-20,18
2019-01-27,19
2019-02-03,16
2019-02-10,57
2019-02-17,31
2019-02-24,18
2019-03-03,16
2019-03-10,15
2019-03-17,14
2019-03-24,20
2019-03-31,14
2019-04-07,13
2019-04-14,14
2019-04-21,13
2019-04-28,15
2019-05-05,15
2019-05-12,13
2019-05-19,12
2019-05-26,12
2019-06-02,13
2019-06-09,13
2019-06-16,12
2019-06-23,13
2019-06-30,14
2019-07-07,19
2019-07-14,11
2019-07-21,11
2019-07-28,12
2019-08-04,13
2019-08-11,10
2019-08-18,13
2019-08-25,12
2019-09-01,12
2019-09-08,12
2019-09-15,14
2019-09-22,13
2019-09-29,12
2019-10-06,11
2019-10-13,11
2019-10-20,13
2019-10-27,18
2019-11-03,32
2019-11-10,26
2019-11-17,24
2019-11-24,33
2019-12-01,34
2019-12-08,24
2019-12-15,31
2019-12-22,26
2019-12-29,30
2020-01-05,28
2020-01-12,27
2020-01-19,20
2020-01-26,35
2020-02-02,41
2020-02-09,29
2020-02-16,29
2020-02-23,30
2020-03-01,33
2020-03-08,31
2020-03-15,28
2020-03-22,62
2020-03-29,60
2020-04-05,47
2020-04-12,39
2020-04-19,52
2020-04-26,49
2020-05-03,36
2020-05-10,31
2020-05-17,32
2020-05-24,29
2020-05-31,28
2020-06-07,26
2020-06-14,27
2020-06-21,30
2020-06-28,28
2020-07-05,27
2020-07-12,26
2020-07-19,44
2020-07-26,33
2020-08-02,27
2020-08-09,35
2020-08-16,31
2020-08-23,32
2020-08-30,26
2020-09-06,24
2020-09-13,23
2020-09-20,20
2020-09-27,22
2020-10-04,24
2020-10-11,22
2020-10-18,22
2020-10-25,26
2020-11-01,25
2020-11-08,29
2020-11-15,34
2020-11-22,48
2020-11-29,39
2020-12-06,34
2020-12-13,34
2020-12-20,51
2020-12-27,40
2021-01-03,33
2021-01-10,36
2021-01-17,28
2021-01-24,25
2021-01-31,26
2021-02-07,30
2021-02-14,28
2021-02-21,27
2021-02-28,27
2021-03-07,27
2021-03-14,93
2021-03-21,46
2021-03-28,38
2021-04-04,36
2021-04-11,34
2021-04-18,35
2021-04-25,36
2021-05-02,36
2021-05-09,54
2021-05-16,37
2021-05-23,40
2021-05-30,37
2021-06-06,36
2021-06-13,33
2021-06-20,37
2021-06-27,34
2021-07-04,34
2021-07-11,35
2021-07-18,34
2021-07-25,36
2021-08-01,34
2021-08-08,33
2021-08-15,40
2021-08-22,40
2021-08-29,29
2021-09-05,28
2021-09-12,39
2021-09-19,39
2021-09-26,33
2021-10-03,30
2021-10-10,32
2021-10-17,32
2021-10-24,32
2021-10-31,31
2021-11-07,29
2021-11-14,31
2021-11-21,36
2021-11-28,32
2021-12-05,40
2021-12-12,56
2021-12-19,42
2021-12-26,40
2022-01-02,34
2022-01-09,31
2022-01-16,32
2022-01-23,30
2022-01-30,31
2022-02-06,38
2022-02-13,37
2022-02-20,34
2022-02-27,47
2022-03-06,49
2022-03-13,41
2022-03-20,36
2022-03-27,36
2022-04-03,41
2022-04-10,32
2022-04-17,36
2022-04-24,33
2022-05-01,42
2022-05-08,44
2022-05-15,41
2022-05-22,43
2022-05-29,53
2022-06-05,52
2022-06-12,47
2022-06-19,35
2022-06-26,35
2022-07-03,31
2022-07-10,29
2022-07-17,26
2022-07-24,31
2022-07-31,30
2022-08-07,32
2022-08-14,29
2022-08-21,36
2022-08-28,33
2022-09-04,35
2022-09-11,63
2022-09-18,51
2022-09-25,48
2022-10-02,30
2022-10-09,26
2022-10-16,23
2022-10-23,23
2022-10-30,28
2022-11-06,28
2022-11-13,36
2022-11-20,27
